,id,car_brand,car_registration_year,car_eng_pow,customer_age,postal_code,claim_amount,policy_id,marital_status,policy_start,policy_end,car_age
0,1,Lamborghini,1992,100-250,18.0,,1525.21,P47864,Married,7/25/2020,8/27/2021,30
1,2,Volkswagen,1991,more than 250,67.0,36350,1300.98,P67035,Single,11/16/2019,8/25/2021,31
2,3,Nissan,2003,more than 250,32.0,,309.57,P09228,Single,7/23/2019,12/16/2021,19
3,4,Kia,2007,100-250,37.0,,875.73,P34919,Married,8/5/2019,1/29/2022,15
4,5,Lamborghini,2009,100-250,22.0,,924.34,P33680,Married,1/16/2019,11/29/2021,13
5,6,GMC,2003,100-250,39.0,,1860.65,P00554,Single,7/11/2019,12/31/2021,19
6,7,Volkswagen,1967,more than 250,55.0,,2328.08,P65389,Married,11/2/2019,4/7/2021,55
7,8,Nissan,2009,more than 250,61.0,9713,1525.23,P75370,Married,8/30/2019,7/23/2021,13
8,9,Ford,2002,more than 250,68.0,,801.2,P65337,Single,12/1/2020,12/17/2021,20
9,10,Mazda,2001,100-250,89.0,665670,1792.99,P54036,Single,9/8/2019,4/24/2021,21
10,11,Audi,2003,more than 250,22.0,,371.17,P87235,Married,6/19/2019,5/1/2021,19
11,12,Toyota,1998,more than 250,27.0,591 99,43.09,P57659,Single,3/10/2020,4/4/2021,24
12,13,Honda,2006,0-100,51.0,,1175.55,P44085,Single,3/18/2020,9/26/2021,16
13,14,Land Rover,1994,more than 250,19.0,,1209.88,P43117,Married,10/22/2019,9/13/2021,28
14,15,Lamborghini,2003,more than 250,78.0,602257,0.0,P83969,Single,1/21/2020,1/22/2022,19
15,16,Smart,2009,more than 250,49.0,,797.1,P68211,Single,5/18/2019,7/12/2021,13
16,17,Porsche,1999,more than 250,17.0,,1692.77,P27226,Single,11/30/2020,4/28/2021,23
17,18,Pontiac,1984,100-250,16.0,,1262.72,P41308,Married,10/22/2019,10/23/2021,38
18,19,Nissan,2009,0-100,39.0,,1800.86,P06504,Married,9/26/2019,6/18/2021,13
19,20,Volvo,2009,0-100,32.0,421-3305,495.96,P03791,Single,6/15/2019,10/31/2021,13
20,21,Acura,1994,more than 250,31.0,,2423.96,P00791,Married,9/21/2019,11/10/2021,28
21,22,Lexus,1994,more than 250,50.0,55590,922.79,P41942,Married,2/3/2019,8/21/2021,28
22,23,Pontiac,2002,0-100,23.0,,0.0,P03583,Single,9/28/2019,9/8/2021,20
23,24,Chevrolet,2011,0-100,63.0,70130,943.67,P92212,Married,4/25/2019,12/14/2021,11
24,25,Chevrolet,2005,0-100,87.0,8201,1374.08,P47238,Married,5/9/2019,9/6/2021,17
25,26,Mazda,1996,0-100,92.0,,2157.56,P56750,Single,8/25/2019,3/8/2021,26
26,27,Subaru,1994,more than 250,79.0,G0E,1867.29,P74933,Married,6/12/2019,1/10/2021,28
27,28,Volvo,1995,0-100,85.0,,0.0,P87907,Single,8/21/2019,9/3/2021,27
28,29,Ford,2000,more than 250,88.0,,1531.61,P65569,Married,7/21/2020,10/23/2021,22
29,30,Pontiac,1993,more than 250,19.0,658810,0.0,P88564,Single,11/5/2020,1/30/2021,29
30,31,Chevrolet,2011,more than 250,61.0,,1099.76,P37375,Single,2/20/2020,7/29/2021,11
31,32,Mercury,2001,more than 250,75.0,,0.0,P70698,Single,9/25/2019,8/4/2021,21
32,33,Pontiac,1986,more than 250,30.0,5516,1417.96,P85051,Single,6/15/2020,12/15/2021,36
33,34,Honda,2008,more than 250,39.0,,533.1,P83726,Married,2/27/2020,1/9/2021,14
34,35,Ford,2006,0-100,84.0,34-650,1903.24,P69694,Single,12/2/2020,4/1/2021,16
35,35,Ford,2006,0-100,84.0,34-650,1903.24,P69694,Single,12/17/2019,5/26/2021,16
36,813,Honda,2008,more than 250,32.0,1761,565.84,P69694,Single,12/2/2020,4/1/2021,14
37,813,Honda,2008,more than 250,32.0,1761,565.84,P69694,Single,12/17/2019,5/26/2021,14
38,36,Dodge,2003,0-100,79.0,,1674.94,P49114,Married,8/7/2019,1/26/2022,19
39,37,GMC,2002,more than 250,54.0,,1444.06,P30013,Single,12/8/2020,12/25/2021,20
40,38,Toyota,2011,more than 250,49.0,,1914.19,P16559,Married,6/24/2019,6/28/2021,11
41,39,Bentley,2012,more than 250,65.0,,2081.22,P21146,Single,8/25/2019,6/14/2021,10
42,40,Acura,2007,100-250,67.0,,43.85,P60650,Married,10/8/2020,10/28/2021,15
43,41,Mercedes-Benz,1983,100-250,26.0,2902,1626.57,P09018,Married,7/5/2020,11/20/2021,39
44,42,Dodge,2003,more than 250,62.0,68710-000,215.26,P36756,Married,4/15/2019,1/30/2022,19
45,43,Dodge,2001,100-250,90.0,,373.55,P21365,Single,7/27/2019,3/8/2021,21
46,44,Porsche,1992,more than 250,43.0,4325,2036.5,P27183,Single,5/23/2020,2/23/2021,30
47,45,Ford,2007,100-250,23.0,,1405.21,P93900,Single,9/27/2019,5/16/2021,15
48,46,Lexus,2012,0-100,28.0,36780,100.41,P65830,Single,7/4/2019,7/7/2021,10
49,47,BMW,2003,more than 250,79.0,,1230.9,P11397,Married,9/29/2019,1/10/2022,19
50,48,Volkswagen,1986,more than 250,36.0,,2462.21,P06815,Married,9/19/2019,1/7/2021,36
51,49,Chevrolet,2001,100-250,19.0,8300,750.12,P12102,Married,12/5/2019,4/15/2021,21
52,50,Mercury,1967,more than 250,26.0,129 07,0.0,P23400,Single,8/23/2020,2/11/2021,55
53,51,Audi,2001,100-250,55.0,99871,2374.53,P00993,Married,2/1/2019,12/23/2021,21
54,52,Mercedes-Benz,2011,more than 250,42.0,,1222.34,P84944,Single,3/31/2019,1/25/2021,11
55,53,Nissan,2005,more than 250,53.0,,1827.34,P73825,Single,10/24/2019,3/14/2021,17
